,date,btc_price,btc_volume_24hr,btc_supply,btc_weekly_spread,us_real_interest_rate_percent,us_gdp_usd,us_inflation_rate_percent
52,2021-01-03,28621.258645529684,45018736244.84149,18596877.539918356,5740.596143432922,-0.23501721,22530000000000.0,1.4
53,2021-01-10,36599.87189949552,87058595384.06285,18576790.444696505,9300.385888124183,-0.23501721,22530000000000.0,1.4
54,2021-01-17,36819.59007759117,70761468923.04312,18594434.80059725,5294.414093302577,-0.23501721,22530000000000.0,1.4
55,2021-01-24,34290.25337265227,55743195040.24492,18639041.82217511,5681.769033228793,-0.23501721,22530000000000.0,1.4
56,2021-01-31,32736.451261398885,56252971801.34654,18613060.186278723,3753.993945249509,-0.23501721,22530000000000.0,1.4
57,2021-02-07,36222.1762660977,50181184072.59236,18609678.984997276,6214.626101963775,-0.2308238,22340000000000.0,1.68
58,2021-02-14,45532.94468028984,67581045516.30464,18631530.209112722,8982.62149098784,-0.2308238,22340000000000.0,1.68
59,2021-02-21,51719.65915390487,65522233806.82851,18631592.571428575,8479.146450276734,-0.2308238,22340000000000.0,1.68
60,2021-02-28,50117.01609898864,76898261491.55597,18628982.6668671,11117.81605016318,-0.2308238,22340000000000.0,1.68
61,2021-03-07,48672.26176484418,56343778617.2116,18641441.23711713,5607.294009205281,0.01250687,22930000000000.0,2.62
62,2021-03-14,55831.473885686246,58945289313.543495,18641194.96640859,10002.105312493193,0.01250687,22930000000000.0,2.62
63,2021-03-21,57945.90206504486,58595892543.82456,18687847.076015797,3623.6383167934982,0.01250687,22930000000000.0,2.62
64,2021-03-28,54476.834334537205,59601174030.27535,18681766.666661706,6156.631039798638,0.01250687,22930000000000.0,2.62
65,2021-04-04,57967.23721848411,53599960843.66926,18674291.304995548,3331.9254555314837,0.11804694,23120000000000.0,4.16
66,2021-04-11,58190.03491889378,55189384962.91532,18668469.58777316,3844.9754270539634,0.11804694,23120000000000.0,4.16
67,2021-04-18,61604.825645641664,66500225292.54899,18679040.231084414,3665.655446200959,0.11804694,23120000000000.0,4.16
68,2021-04-25,53683.52981962672,72976617906.10783,18705577.61601447,6161.621162221527,0.11804694,23120000000000.0,4.16
69,2021-05-02,54571.551518653934,49686571726.27281,18695350.030040093,8847.070421209777,0.03694758,23290000000000.0,4.99
